Report Id,Processing Script,Report Code,Switches,Output File,Description,Type,Trading Date,Feed To,Area,Active
OPS3,H_UPCPYMTS,G_CMHBOS.1,Yes,upcpymts.txt,Upcoming Payments Report,Report,,,Operations,Yes
OPS4,H_EXTRBROK,HBOSOPS4.1,Yes,extrbrok.txt,Exchange Traded Brokerage Report,Report,,,Operations,Yes
OPS4,H_OTCBROK,HBOSOPS4.2,Yes,otcbrok.csv,OTC Brokerage Report,Report,,,Operations,Yes
OPS6,H_GAUST1new,G_AUST1new,Yes,aust1new.txt,Access rights - 2.10 and on compatible,Report,,,Operations,Yes
OPS7,H_OPS_FUT,H_OPS_FUT,Yes,ops_fut.csv,Operations Futures and Options Report,Report,,,Operations,Yes
OPS8,H_SWISKEY,H_SWISKEY,Yes,swiskey.csv,Swiss Key Extract,Report,,,Operations,Yes
OPS9,H_PREMSET,G_CMPR.1,Yes,premset.csv,Premium Settlements Breakdown,Report,,,Operations,Yes
PSTCSH,H_PSTCSH,G_CMMV.3A,No,pstcsh.txt,Past Cash Balances by Pfolio Cur,Report,,,Risk,Yes
PVBPFX,H_PVBPMO2_FX,H_MO_PVBP2,No,pvbp.fx.csv,PVBP FX Report,Report,,,Risk,Yes
PVBPMRD,H_PVBPMO2_MRD,H_MO_PVBP2,No,pvbp.mrd.csv,PVBP MRD Report,Report,,,Risk,Yes
PVBPSTD,H_PVBPMO2_STD,H_MO_PVBP2,No,pvbp.std.csv,PVBP Std Report,Report,,,Risk,Yes
TRECS2,H_TRECS2,H_TRECS2,Yes,trecs2.csv,FX Trade Reconcilliation,Report,,,MiddleOffice,Yes
VOL_SMILE,H_VOL_SMILE,H_VOL_SMILE,Yes,vol_smile.csv,Volatilities Smile Extract,Report,,,MiddleOffice,Yes
